BudgetID,Financial_Year,PeriodKey,SegmentID,StandardItemID,FundID,CostCentreID,ProjectID,DetailedItemID,VoteID,Budget_Amount,Adjusted_Amount,Forecast_Amount,Budget_Version,Approval_Date
1,2025,202408,3,5,2,28,,6,1,33349,28490,49576,1,7/1/2024
2,2025,202408,5,3,2,15,,2,4,32148,15915,34333,1,7/1/2024
3,2025,202407,5,8,4,14,,6,5,23639,16132,37857,1,7/1/2024
4,2025,202407,2,8,3,17,,6,4,12306,32450,23077,1,7/1/2024
5,2025,202408,2,5,1,21,,5,5,28837,23719,11169,1,7/1/2024
6,2025,202408,1,6,1,11,,3,1,17179,33131,20098,1,7/1/2024
7,2025,202409,4,7,2,11,,6,3,37758,15406,36688,1,7/1/2024
8,2025,202407,4,4,2,10,,3,1,20711,42550,45225,1,7/1/2024
9,2025,202408,2,1,4,32,,6,5,11564,41485,30684,1,7/1/2024
10,2025,202408,3,4,4,5,,4,1,21952,21968,21293,1,7/1/2024
11,2025,202408,4,6,2,6,,5,5,16446,22598,20567,1,7/1/2024
12,2025,202407,4,3,2,32,,7,2,33901,18708,10441,1,7/1/2024
13,2025,202409,2,1,2,1,,5,1,34674,39436,21395,1,7/1/2024
14,2025,202408,2,5,3,4,,6,1,25520,47452,16916,1,7/1/2024
15,2025,202408,2,3,1,38,,3,1,36920,23971,24096,1,7/1/2024
16,2025,202407,4,7,3,13,,2,3,13425,32805,41911,1,7/1/2024
17,2025,202407,1,1,2,16,,2,5,28580,33604,14547,1,7/1/2024
18,2025,202407,3,8,1,8,,8,1,21733,32606,36424,1,7/1/2024
19,2025,202408,2,7,4,29,,6,1,27288,46351,26671,1,7/1/2024
20,2025,202408,5,1,2,19,,8,3,40143,27162,42063,1,7/1/2024
21,2025,202407,5,3,2,24,,2,1,22270,43407,37018,1,7/1/2024
22,2025,202407,5,3,2,6,,1,3,41969,43961,40753,1,7/1/2024
23,2025,202408,5,1,4,26,,2,1,48843,19744,49538,1,7/1/2024
24,2025,202409,3,7,4,39,,6,2,13977,31986,21311,1,7/1/2024
25,2025,202407,1,3,3,36,,2,1,44880,43631,40428,1,7/1/2024
26,2025,202407,5,7,2,27,,8,3,23083,37732,32991,1,7/1/2024
27,2025,202407,2,7,4,31,,3,5,14168,24808,22609,1,7/1/2024
28,2025,202408,3,2,4,23,,3,4,42091,44069,21089,1,7/1/2024
29,2025,202408,1,8,1,33,,6,5,31280,37478,10037,1,7/1/2024
30,2025,202408,3,5,2,17,,2,5,30377,43385,10841,1,7/1/2024
31,2025,202408,4,5,3,27,,6,1,21570,42512,45406,1,7/1/2024
32,2025,202407,3,3,2,9,,8,4,38812,42061,33491,1,7/1/2024
33,2025,202407,1,3,4,25,,2,5,38382,32797,13735,1,7/1/2024
34,2025,202408,2,4,4,33,,1,2,49875,42492,21302,1,7/1/2024
35,2025,202407,3,1,2,38,,4,1,37887,36925,41760,1,7/1/2024
36,2025,202408,4,4,4,35,,5,4,48890,22741,12331,1,7/1/2024
37,2025,202407,2,2,4,30,,2,1,42304,18746,16610,1,7/1/2024
38,2025,202408,3,7,3,21,,6,1,18199,49188,39354,1,7/1/2024
39,2025,202408,3,4,3,2,,3,3,25640,23330,20897,1,7/1/2024
40,2025,202407,2,1,1,15,,7,4,41391,13833,44495,1,7/1/2024
41,2025,202409,4,6,4,22,,4,5,43891,30236,13828,1,7/1/2024
42,2025,202409,5,5,2,16,,7,2,45030,29418,43348,1,7/1/2024
43,2025,202409,1,7,2,35,,2,2,42641,44623,17758,1,7/1/2024
44,2025,202407,2,1,4,19,,1,1,22230,26965,42217,1,7/1/2024
45,2025,202409,1,4,2,14,,6,5,10394,43667,22951,1,7/1/2024
46,2025,202409,3,2,2,3,,8,5,43628,15206,24417,1,7/1/2024
47,2025,202409,5,5,2,25,,3,2,24372,12189,45495,1,7/1/2024
48,2025,202407,1,1,1,2,,2,2,15515,13145,47418,1,7/1/2024
49,2025,202407,1,8,4,4,,5,1,19036,44661,40648,1,7/1/2024
50,2025,202407,5,6,4,20,,8,1,44560,41576,47833,1,7/1/2024
51,2025,202409,2,7,2,16,,6,4,31905,11408,30887,1,7/1/2024
52,2025,202407,5,4,3,27,,7,3,37579,44153,14553,1,7/1/2024
53,2025,202409,3,6,2,2,,1,3,23889,41204,12872,1,7/1/2024
54,2025,202409,1,4,4,30,,8,4,37459,37998,11291,1,7/1/2024
55,2025,202408,3,7,1,29,,3,5,25494,36090,22576,1,7/1/2024
56,2025,202409,5,6,4,3,,5,3,33240,31344,29445,1,7/1/2024
57,2025,202408,2,3,2,3,,5,5,27659,10158,28059,1,7/1/2024
58,2025,202408,1,3,4,17,,5,4,37084,29537,13978,1,7/1/2024
59,2025,202408,2,3,2,2,,3,3,42399,13881,15875,1,7/1/2024
60,2025,202409,1,5,3,1,,6,3,31683,46593,28896,1,7/1/2024
61,2025,202408,3,3,3,30,,1,3,17079,30327,36576,1,7/1/2024
62,2025,202407,2,3,4,14,,8,3,40636,40817,37442,1,7/1/2024
63,2025,202407,2,4,2,17,,6,5,41622,44806,11194,1,7/1/2024
64,2025,202409,2,7,3,27,,7,1,39858,22246,14534,1,7/1/2024
65,2025,202409,1,3,1,8,,8,1,32055,14233,39651,1,7/1/2024
66,2025,202408,1,1,1,27,,7,1,31143,30030,43854,1,7/1/2024
67,2025,202408,3,8,2,23,,2,3,34287,33775,41811,1,7/1/2024
68,2025,202409,2,6,1,20,,3,2,23423,37105,30974,1,7/1/2024
69,2025,202407,3,3,1,8,,5,5,34123,35145,10835,1,7/1/2024
70,2025,202409,1,6,2,40,,5,3,39727,21519,34838,1,7/1/2024
71,2025,202409,1,8,3,13,,5,2,30422,40549,48523,1,7/1/2024
72,2025,202407,3,7,4,20,,2,2,49197,28414,30423,1,7/1/2024
73,2025,202407,3,8,1,20,,5,5,21700,19850,33095,1,7/1/2024
74,2025,202409,2,8,4,16,,1,5,22737,49220,31359,1,7/1/2024
75,2025,202409,2,2,2,25,,5,3,34346,35472,26691,1,7/1/2024
76,2025,202409,4,3,2,5,,4,1,47055,11383,44222,1,7/1/2024
77,2025,202408,2,2,2,5,,7,2,38673,21628,44226,1,7/1/2024
78,2025,202407,1,6,2,27,,6,4,18555,34126,15162,1,7/1/2024
79,2025,202407,1,7,3,28,,4,5,34927,23667,38590,1,7/1/2024
80,2025,202408,5,8,3,5,,1,3,15027,46711,30067,1,7/1/2024
81,2025,202409,3,5,1,7,,5,1,33003,25873,12265,1,7/1/2024
82,2025,202409,5,7,4,13,,3,5,44721,34526,37309,1,7/1/2024
83,2025,202409,5,6,3,24,,3,5,18139,18926,49663,1,7/1/2024
84,2025,202408,2,8,3,12,,8,4,18754,28417,15184,1,7/1/2024
85,2025,202407,1,7,4,20,,1,5,10690,29208,38389,1,7/1/2024
86,2025,202408,1,2,1,19,,1,2,18138,31000,16398,1,7/1/2024
87,2025,202408,4,4,1,32,,8,3,25952,43686,15978,1,7/1/2024
88,2025,202409,3,5,4,15,,4,5,23858,23984,35910,1,7/1/2024
89,2025,202409,1,5,3,40,,3,4,24791,45344,25114,1,7/1/2024
90,2025,202407,2,4,3,25,,2,5,41206,40288,31545,1,7/1/2024
91,2025,202409,2,4,3,22,,5,3,31780,40728,10192,1,7/1/2024
92,2025,202408,2,2,1,27,,6,1,33099,10630,36704,1,7/1/2024
93,2025,202407,3,8,4,32,,6,4,15833,27714,25664,1,7/1/2024
94,2025,202407,2,8,2,5,,8,4,39660,13113,21369,1,7/1/2024
95,2025,202407,2,6,3,19,,5,5,49807,48640,35284,1,7/1/2024
96,2025,202408,3,5,4,34,,1,5,18225,42276,21133,1,7/1/2024
